date,window,pm25,pm10,location_id,location_name,pm25_category,pm10_category
2021-09-11,Window 1 (Jul 2021 - Oct 2022),14.783333333333333,32.266666666666666,229252,NSI Kalyanpur,Good,Good
2021-09-12,Window 1 (Jul 2021 - Oct 2022),24.63,50.709999999999994,229252,NSI Kalyanpur,Good,Satisfactory
2021-09-13,Window 1 (Jul 2021 - Oct 2022),10.977777777777778,40.06666666666667,229252,NSI Kalyanpur,Good,Good
2021-09-14,Window 1 (Jul 2021 - Oct 2022),5.05,24.157142857142855,229252,NSI Kalyanpur,Good,Good
2021-09-15,Window 1 (Jul 2021 - Oct 2022),3.103448275862069,11.088620689655173,229252,NSI Kalyanpur,Good,Good
2021-09-16,Window 1 (Jul 2021 - Oct 2022),1.611627906976744,4.880116279069767,229252,NSI Kalyanpur,Good,Good
2021-09-17,Window 1 (Jul 2021 - Oct 2022),7.719736842105264,15.592105263157896,229252,NSI Kalyanpur,Good,Good
2021-09-18,Window 1 (Jul 2021 - Oct 2022),8.234444444444446,74.07111111111111,229252,NSI Kalyanpur,Good,Satisfactory
2021-09-19,Window 1 (Jul 2021 - Oct 2022),20.3625,74.28636363636363,229252,NSI Kalyanpur,Good,Satisfactory
2021-09-20,Window 1 (Jul 2021 - Oct 2022),26.475,62.01025,229252,NSI Kalyanpur,Good,Satisfactory
2021-09-21,Window 1 (Jul 2021 - Oct 2022),20.26341463414634,52.72682926829269,229252,NSI Kalyanpur,Good,Satisfactory
2021-09-22,Window 1 (Jul 2021 - Oct 2022),20.177272727272726,42.788636363636364,229252,NSI Kalyanpur,Good,Good
2021-09-23,Window 1 (Jul 2021 - Oct 2022),17.3,34.332608695652176,229252,NSI Kalyanpur,Good,Good
2021-09-24,Window 1 (Jul 2021 - Oct 2022),18.839772727272727,29.988636363636363,229252,NSI Kalyanpur,Good,Good
2021-09-25,Window 1 (Jul 2021 - Oct 2022),14.043478260869565,28.660869565217393,229252,NSI Kalyanpur,Good,Good
2021-09-26,Window 1 (Jul 2021 - Oct 2022),15.785652173913043,43.154347826086955,229252,NSI Kalyanpur,Good,Good
2021-09-27,Window 1 (Jul 2021 - Oct 2022),14.423478260869565,33.845652173913045,229252,NSI Kalyanpur,Good,Good
2021-09-28,Window 1 (Jul 2021 - Oct 2022),13.469999999999999,34.29333333333334,229252,NSI Kalyanpur,Good,Good
2021-09-29,Window 1 (Jul 2021 - Oct 2022),22.8,42.8,229252,NSI Kalyanpur,Good,Good
2021-09-30,Window 1 (Jul 2021 - Oct 2022),10.516666666666666,32.39259259259259,229252,NSI Kalyanpur,Good,Good
2021-10-13,Window 1 (Jul 2021 - Oct 2022),57.74761904761905,95.4047619047619,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2021-10-14,Window 1 (Jul 2021 - Oct 2022),83.42083333333333,109.15833333333335,229252,NSI Kalyanpur,Moderate,Moderate
2021-10-15,Window 1 (Jul 2021 - Oct 2022),42.6063829787234,100.32553191489362,229252,NSI Kalyanpur,Satisfactory,Moderate
2021-10-16,Window 1 (Jul 2021 - Oct 2022),53.625,80.48333333333333,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2021-10-17,Window 1 (Jul 2021 - Oct 2022),21.5175,26.499791666666667,229252,NSI Kalyanpur,Good,Good
2021-10-18,Window 1 (Jul 2021 - Oct 2022),7.97409090909091,10.534772727272726,229252,NSI Kalyanpur,Good,Good
2021-10-19,Window 1 (Jul 2021 - Oct 2022),18.53,23.241666666666664,229252,NSI Kalyanpur,Good,Good
2021-10-20,Window 1 (Jul 2021 - Oct 2022),50.99583333333334,57.947916666666664,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2021-10-21,Window 1 (Jul 2021 - Oct 2022),38.01276595744681,63.51276595744681,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2021-10-22,Window 1 (Jul 2021 - Oct 2022),37.76086956521739,72.0608695652174,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2021-10-23,Window 1 (Jul 2021 - Oct 2022),46.12978723404255,69.42978723404255,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2021-10-24,Window 1 (Jul 2021 - Oct 2022),47.86382978723404,65.60851063829787,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2021-10-25,Window 1 (Jul 2021 - Oct 2022),39.88085106382979,54.759574468085106,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2021-10-26,Window 1 (Jul 2021 - Oct 2022),31.160416666666666,40.168749999999996,229252,NSI Kalyanpur,Satisfactory,Good
2021-10-27,Window 1 (Jul 2021 - Oct 2022),70.72291666666666,92.46458333333334,229252,NSI Kalyanpur,Moderate,Satisfactory
2021-10-28,Window 1 (Jul 2021 - Oct 2022),102.20625,127.16875,229252,NSI Kalyanpur,Poor,Moderate
2021-10-29,Window 1 (Jul 2021 - Oct 2022),79.2,140.0,229252,NSI Kalyanpur,Moderate,Moderate
2021-10-30,Window 1 (Jul 2021 - Oct 2022),62.541666666666664,109.08333333333333,229252,NSI Kalyanpur,Moderate,Moderate
2021-10-31,Window 1 (Jul 2021 - Oct 2022),93.63333333333333,157.54166666666666,229252,NSI Kalyanpur,Poor,Moderate
2021-11-01,Window 1 (Jul 2021 - Oct 2022),85.84166666666665,142.23749999999998,229252,NSI Kalyanpur,Moderate,Moderate
2021-11-02,Window 1 (Jul 2021 - Oct 2022),72.51521739130435,113.87173913043479,229252,NSI Kalyanpur,Moderate,Moderate
2021-11-03,Window 1 (Jul 2021 - Oct 2022),93.43571428571428,144.0952380952381,229252,NSI Kalyanpur,Poor,Moderate
2021-11-04,Window 1 (Jul 2021 - Oct 2022),209.0690476190476,252.67804878048779,229252,NSI Kalyanpur,Very Poor,Poor
2021-11-05,Window 1 (Jul 2021 - Oct 2022),113.92439024390244,151.86829268292684,229252,NSI Kalyanpur,Poor,Moderate
2021-11-06,Window 1 (Jul 2021 - Oct 2022),141.56666666666666,190.6904761904762,229252,NSI Kalyanpur,Very Poor,Moderate
2021-11-07,Window 1 (Jul 2021 - Oct 2022),236.21951219512195,300.8780487804878,229252,NSI Kalyanpur,Very Poor,Poor
2021-11-08,Window 1 (Jul 2021 - Oct 2022),232.00588235294117,290.44117647058823,229252,NSI Kalyanpur,Very Poor,Poor
2021-11-09,Window 1 (Jul 2021 - Oct 2022),220.26486486486488,280.56756756756755,229252,NSI Kalyanpur,Very Poor,Poor
2021-11-10,Window 1 (Jul 2021 - Oct 2022),124.84893617021275,190.3382978723404,229252,NSI Kalyanpur,Very Poor,Moderate
2021-11-11,Window 1 (Jul 2021 - Oct 2022),85.77499999999999,117.45854166666668,229252,NSI Kalyanpur,Moderate,Moderate
2021-11-12,Window 1 (Jul 2021 - Oct 2022),83.02105263157895,151.7263157894737,229252,NSI Kalyanpur,Moderate,Moderate
2021-11-13,Window 1 (Jul 2021 - Oct 2022),90.73958333333333,144.10833333333332,229252,NSI Kalyanpur,Poor,Moderate
2021-11-14,Window 1 (Jul 2021 - Oct 2022),121.21860465116278,180.1813953488372,229252,NSI Kalyanpur,Very Poor,Moderate
2021-11-15,Window 1 (Jul 2021 - Oct 2022),94.75833333333333,142.98333333333332,229252,NSI Kalyanpur,Poor,Moderate
2021-11-16,Window 1 (Jul 2021 - Oct 2022),101.80425531914894,180.88297872340425,229252,NSI Kalyanpur,Poor,Moderate
2021-11-17,Window 1 (Jul 2021 - Oct 2022),111.27826086956522,163.1086956521739,229252,NSI Kalyanpur,Poor,Moderate
2021-11-18,Window 1 (Jul 2021 - Oct 2022),121.51063829787235,175.81914893617022,229252,NSI Kalyanpur,Very Poor,Moderate
2021-11-19,Window 1 (Jul 2021 - Oct 2022),130.44583333333333,173.01041666666666,229252,NSI Kalyanpur,Very Poor,Moderate
2021-11-20,Window 1 (Jul 2021 - Oct 2022),164.19565217391303,202.56521739130434,229252,NSI Kalyanpur,Very Poor,Moderate
2021-11-21,Window 1 (Jul 2021 - Oct 2022),97.625,160.41666666666666,229252,NSI Kalyanpur,Poor,Moderate
2021-11-22,Window 1 (Jul 2021 - Oct 2022),63.0225,137.4925,229252,NSI Kalyanpur,Moderate,Moderate
2021-11-23,Window 1 (Jul 2021 - Oct 2022),81.07837837837837,180.07567567567568,229252,NSI Kalyanpur,Moderate,Moderate
2021-11-24,Window 1 (Jul 2021 - Oct 2022),95.36818181818181,193.72727272727272,229252,NSI Kalyanpur,Poor,Moderate
2021-11-25,Window 1 (Jul 2021 - Oct 2022),85.68108108108108,184.0108108108108,229252,NSI Kalyanpur,Moderate,Moderate
2021-11-26,Window 1 (Jul 2021 - Oct 2022),157.17241379310346,325.0689655172414,229252,NSI Kalyanpur,Very Poor,Poor
2021-11-27,Window 1 (Jul 2021 - Oct 2022),120.44411764705882,245.0,229252,NSI Kalyanpur,Very Poor,Moderate
2021-11-28,Window 1 (Jul 2021 - Oct 2022),112.0,202.0,229252,NSI Kalyanpur,Poor,Moderate
2021-11-29,Window 1 (Jul 2021 - Oct 2022),98.85172413793103,197.75862068965517,229252,NSI Kalyanpur,Poor,Moderate
2021-11-30,Window 1 (Jul 2021 - Oct 2022),89.62380952380951,191.85714285714286,229252,NSI Kalyanpur,Moderate,Moderate
2021-12-01,Window 1 (Jul 2021 - Oct 2022),109.06923076923077,223.5,229252,NSI Kalyanpur,Poor,Moderate
2021-12-02,Window 1 (Jul 2021 - Oct 2022),107.516,208.76,229252,NSI Kalyanpur,Poor,Moderate
2021-12-03,Window 1 (Jul 2021 - Oct 2022),65.72,155.1925,229252,NSI Kalyanpur,Moderate,Moderate
2021-12-04,Window 1 (Jul 2021 - Oct 2022),106.86470588235295,211.7264705882353,229252,NSI Kalyanpur,Poor,Moderate
2021-12-05,Window 1 (Jul 2021 - Oct 2022),104.49374999999999,198.39583333333334,229252,NSI Kalyanpur,Poor,Moderate
2021-12-06,Window 1 (Jul 2021 - Oct 2022),53.58888888888889,110.08333333333333,229252,NSI Kalyanpur,Satisfactory,Moderate
2021-12-07,Window 1 (Jul 2021 - Oct 2022),42.7925925925926,96.2925925925926,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2021-12-08,Window 1 (Jul 2021 - Oct 2022),74.22,141.99142857142857,229252,NSI Kalyanpur,Moderate,Moderate
2021-12-09,Window 1 (Jul 2021 - Oct 2022),78.48974358974358,171.16153846153847,229252,NSI Kalyanpur,Moderate,Moderate
2021-12-10,Window 1 (Jul 2021 - Oct 2022),86.54583333333333,181.375,229252,NSI Kalyanpur,Moderate,Moderate
2021-12-11,Window 1 (Jul 2021 - Oct 2022),73.8063829787234,162.95106382978722,229252,NSI Kalyanpur,Moderate,Moderate
2021-12-12,Window 1 (Jul 2021 - Oct 2022),76.54583333333333,173.02083333333334,229252,NSI Kalyanpur,Moderate,Moderate
2021-12-13,Window 1 (Jul 2021 - Oct 2022),98.88510638297873,212.94468085106382,229252,NSI Kalyanpur,Poor,Moderate
2021-12-14,Window 1 (Jul 2021 - Oct 2022),110.12941176470588,227.05882352941177,229252,NSI Kalyanpur,Poor,Moderate
2021-12-15,Window 1 (Jul 2021 - Oct 2022),71.15,165.72777777777776,229252,NSI Kalyanpur,Moderate,Moderate
2021-12-16,Window 1 (Jul 2021 - Oct 2022),72.66363636363636,164.4090909090909,229252,NSI Kalyanpur,Moderate,Moderate
2021-12-17,Window 1 (Jul 2021 - Oct 2022),54.231578947368426,141.31578947368422,229252,NSI Kalyanpur,Satisfactory,Moderate
2021-12-18,Window 1 (Jul 2021 - Oct 2022),56.49047619047619,143.7904761904762,229252,NSI Kalyanpur,Satisfactory,Moderate
2021-12-19,Window 1 (Jul 2021 - Oct 2022),69.5,172.52941176470588,229252,NSI Kalyanpur,Moderate,Moderate
2021-12-20,Window 1 (Jul 2021 - Oct 2022),95.5,216.375,229252,NSI Kalyanpur,Poor,Moderate
2021-12-22,Window 1 (Jul 2021 - Oct 2022),153.72,330.4,229252,NSI Kalyanpur,Very Poor,Poor
2021-12-23,Window 1 (Jul 2021 - Oct 2022),135.93333333333334,280.0,229252,NSI Kalyanpur,Very Poor,Poor
2021-12-24,Window 1 (Jul 2021 - Oct 2022),78.10000000000001,167.85714285714286,229252,NSI Kalyanpur,Moderate,Moderate
2021-12-25,Window 1 (Jul 2021 - Oct 2022),71.875,152.0,229252,NSI Kalyanpur,Moderate,Moderate
2021-12-26,Window 1 (Jul 2021 - Oct 2022),78.0,162.42857142857142,229252,NSI Kalyanpur,Moderate,Moderate
2021-12-27,Window 1 (Jul 2021 - Oct 2022),67.0,141.0,229252,NSI Kalyanpur,Moderate,Moderate
2021-12-29,Window 1 (Jul 2021 - Oct 2022),5.3,122.78333333333335,229252,NSI Kalyanpur,Good,Moderate
2021-12-30,Window 1 (Jul 2021 - Oct 2022),34.292307692307695,101.89230769230768,229252,NSI Kalyanpur,Satisfactory,Moderate
2021-12-31,Window 1 (Jul 2021 - Oct 2022),77.60000000000001,125.33333333333333,229252,NSI Kalyanpur,Moderate,Moderate
2022-01-01,Window 1 (Jul 2021 - Oct 2022),98.91363636363636,181.86363636363637,229252,NSI Kalyanpur,Poor,Moderate
2022-01-02,Window 1 (Jul 2021 - Oct 2022),94.65263157894738,205.05263157894737,229252,NSI Kalyanpur,Poor,Moderate
2022-01-05,Window 1 (Jul 2021 - Oct 2022),62.6,170.0,229252,NSI Kalyanpur,Moderate,Moderate
2022-01-20,Window 1 (Jul 2021 - Oct 2022),83.6,192.0,229252,NSI Kalyanpur,Moderate,Moderate
2022-01-21,Window 1 (Jul 2021 - Oct 2022),84.60000000000001,181.33333333333334,229252,NSI Kalyanpur,Moderate,Moderate
2022-01-22,Window 1 (Jul 2021 - Oct 2022),74.1,152.0,229252,NSI Kalyanpur,Moderate,Moderate
2022-01-23,Window 1 (Jul 2021 - Oct 2022),47.35,102.0,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-01-24,Window 1 (Jul 2021 - Oct 2022),29.48,61.36,229252,NSI Kalyanpur,Good,Satisfactory
2022-01-25,Window 1 (Jul 2021 - Oct 2022),101.4,190.9,229252,NSI Kalyanpur,Poor,Moderate
2022-01-26,Window 1 (Jul 2021 - Oct 2022),62.4,117.0,229252,NSI Kalyanpur,Moderate,Moderate
2022-01-28,Window 1 (Jul 2021 - Oct 2022),63.7,109.0,229252,NSI Kalyanpur,Moderate,Moderate
2022-01-29,Window 1 (Jul 2021 - Oct 2022),69.456,125.67200000000001,229252,NSI Kalyanpur,Moderate,Moderate
2022-01-30,Window 1 (Jul 2021 - Oct 2022),81.30263157894737,149.62105263157895,229252,NSI Kalyanpur,Moderate,Moderate
2022-01-31,Window 1 (Jul 2021 - Oct 2022),114.52307692307691,173.15384615384616,229252,NSI Kalyanpur,Poor,Moderate
2022-02-01,Window 1 (Jul 2021 - Oct 2022),80.58500000000001,138.95,229252,NSI Kalyanpur,Moderate,Moderate
2022-02-02,Window 1 (Jul 2021 - Oct 2022),94.288,186.4,229252,NSI Kalyanpur,Poor,Moderate
2022-02-03,Window 1 (Jul 2021 - Oct 2022),68.41428571428571,166.14285714285714,229252,NSI Kalyanpur,Moderate,Moderate
2022-02-04,Window 1 (Jul 2021 - Oct 2022),37.242105263157896,85.17368421052632,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2022-02-05,Window 1 (Jul 2021 - Oct 2022),32.94117647058823,73.7764705882353,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2022-02-06,Window 1 (Jul 2021 - Oct 2022),45.266666666666666,86.07777777777778,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2022-03-24,Window 1 (Jul 2021 - Oct 2022),53.3,110.0,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-03-25,Window 1 (Jul 2021 - Oct 2022),51.26666666666667,128.00833333333333,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-03-26,Window 1 (Jul 2021 - Oct 2022),39.300000000000004,133.49583333333334,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-03-27,Window 1 (Jul 2021 - Oct 2022),54.375,132.5,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-03-29,Window 1 (Jul 2021 - Oct 2022),53.64042553191489,144.48936170212767,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-03-30,Window 1 (Jul 2021 - Oct 2022),67.57391304347826,153.97391304347826,229252,NSI Kalyanpur,Moderate,Moderate
2022-03-31,Window 1 (Jul 2021 - Oct 2022),71.375,72.00416666666666,229252,NSI Kalyanpur,Moderate,Satisfactory
2022-04-01,Window 1 (Jul 2021 - Oct 2022),55.61818181818182,89.46818181818182,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2022-04-02,Window 1 (Jul 2021 - Oct 2022),39.9575,104.6875,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-03,Window 1 (Jul 2021 - Oct 2022),53.10833333333333,132.00833333333333,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-04,Window 1 (Jul 2021 - Oct 2022),34.7125,112.42916666666667,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-05,Window 1 (Jul 2021 - Oct 2022),42.05416666666667,111.89166666666667,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-06,Window 1 (Jul 2021 - Oct 2022),48.85833333333333,129.97916666666666,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-07,Window 1 (Jul 2021 - Oct 2022),53.775,132.22916666666666,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-08,Window 1 (Jul 2021 - Oct 2022),61.37916666666666,157.15833333333333,229252,NSI Kalyanpur,Moderate,Moderate
2022-04-09,Window 1 (Jul 2021 - Oct 2022),59.05416666666667,146.76250000000002,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-10,Window 1 (Jul 2021 - Oct 2022),64.24166666666666,154.32083333333333,229252,NSI Kalyanpur,Moderate,Moderate
2022-04-11,Window 1 (Jul 2021 - Oct 2022),64.95,164.28333333333333,229252,NSI Kalyanpur,Moderate,Moderate
2022-04-12,Window 1 (Jul 2021 - Oct 2022),62.832352941176474,147.41176470588235,229252,NSI Kalyanpur,Moderate,Moderate
2022-04-13,Window 1 (Jul 2021 - Oct 2022),42.852380952380955,115.53333333333333,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-14,Window 1 (Jul 2021 - Oct 2022),55.521875,163.0625,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-15,Window 1 (Jul 2021 - Oct 2022),42.7,139.425,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-16,Window 1 (Jul 2021 - Oct 2022),39.604166666666664,132.5875,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-17,Window 1 (Jul 2021 - Oct 2022),43.12916666666666,122.01666666666667,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-18,Window 1 (Jul 2021 - Oct 2022),49.36666666666667,137.01250000000002,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-19,Window 1 (Jul 2021 - Oct 2022),47.46666666666667,136.70833333333334,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-20,Window 1 (Jul 2021 - Oct 2022),43.05416666666667,148.0,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-21,Window 1 (Jul 2021 - Oct 2022),43.4,190.11249999999998,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-22,Window 1 (Jul 2021 - Oct 2022),37.604166666666664,123.52499999999999,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-23,Window 1 (Jul 2021 - Oct 2022),37.49583333333333,116.12083333333334,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-24,Window 1 (Jul 2021 - Oct 2022),45.19583333333333,151.41666666666666,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-25,Window 1 (Jul 2021 - Oct 2022),40.49166666666667,124.89166666666667,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-26,Window 1 (Jul 2021 - Oct 2022),55.00416666666666,190.75,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-28,Window 1 (Jul 2021 - Oct 2022),77.21666666666667,161.39583333333334,229252,NSI Kalyanpur,Moderate,Moderate
2022-04-29,Window 1 (Jul 2021 - Oct 2022),54.734166666666674,135.5,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-04-30,Window 1 (Jul 2021 - Oct 2022),50.21702127659574,142.7617021276596,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-05-01,Window 1 (Jul 2021 - Oct 2022),63.887499999999996,221.63333333333333,229252,NSI Kalyanpur,Moderate,Moderate
2022-05-02,Window 1 (Jul 2021 - Oct 2022),39.68181818181818,109.0909090909091,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-05-04,Window 1 (Jul 2021 - Oct 2022),39.21666666666667,154.05,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-05-05,Window 1 (Jul 2021 - Oct 2022),34.175000000000004,79.97500000000001,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2022-05-06,Window 1 (Jul 2021 - Oct 2022),41.35,122.10000000000001,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-05-07,Window 1 (Jul 2021 - Oct 2022),50.36666666666667,111.06666666666666,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-05-08,Window 1 (Jul 2021 - Oct 2022),43.76666666666667,86.22916666666667,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2022-05-09,Window 1 (Jul 2021 - Oct 2022),40.15416666666667,83.02083333333333,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2022-05-10,Window 1 (Jul 2021 - Oct 2022),36.67916666666667,79.12916666666666,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2022-05-11,Window 1 (Jul 2021 - Oct 2022),31.166666666666668,68.12083333333334,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2022-05-12,Window 1 (Jul 2021 - Oct 2022),35.02916666666667,83.84166666666667,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2022-05-13,Window 1 (Jul 2021 - Oct 2022),45.35833333333333,125.33333333333333,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-05-14,Window 1 (Jul 2021 - Oct 2022),49.42083333333333,122.08333333333333,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-05-15,Window 1 (Jul 2021 - Oct 2022),50.88181818181818,117.73181818181818,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-05-16,Window 1 (Jul 2021 - Oct 2022),70.06666666666668,187.23809523809524,229252,NSI Kalyanpur,Moderate,Moderate
2022-05-17,Window 1 (Jul 2021 - Oct 2022),55.949999999999996,163.54166666666666,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-05-18,Window 1 (Jul 2021 - Oct 2022),49.09130434782608,160.7826086956522,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-05-19,Window 1 (Jul 2021 - Oct 2022),40.99166666666667,148.86666666666667,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-05-20,Window 1 (Jul 2021 - Oct 2022),56.71304347826087,154.95652173913044,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-05-21,Window 1 (Jul 2021 - Oct 2022),29.671794871794873,117.66153846153847,229252,NSI Kalyanpur,Good,Moderate
2022-05-22,Window 1 (Jul 2021 - Oct 2022),30.638095238095236,86.04761904761905,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2022-05-23,Window 1 (Jul 2021 - Oct 2022),33.0315,68.02105263157895,229252,NSI Kalyanpur,Satisfactory,Satisfactory
2022-05-24,Window 1 (Jul 2021 - Oct 2022),27.633333333333333,51.18571428571429,229252,NSI Kalyanpur,Good,Satisfactory
2022-05-25,Window 1 (Jul 2021 - Oct 2022),53.8,121.48571428571428,229252,NSI Kalyanpur,Satisfactory,Moderate
2022-05-26,Window 1 (Jul 2021 - Oct 2022),67.39545454545454,153.04545454545453,229252,NSI Kalyanpur,Moderate,Moderate
2022-05-28,Window 1 (Jul 2021 - Oct 2022),60.67272727272727,152.0909090909091,229252,NSI Kalyanpur,Moderate,Moderate
2022-05-29,Window 1 (Jul 2021 - Oct 2022),67.96249999999999,161.61249999999998,229252,NSI Kalyanpur,Moderate,Moderate
2022-05-30,Window 1 (Jul 2021 - Oct 2022),76.71739130434783,183.55652173913043,229252,NSI Kalyanpur,Moderate,Moderate
2022-05-31,Window 1 (Jul 2021 - Oct 2022),80.64583333333333,102.08333333333333,229252,NSI Kalyanpur,Moderate,Moderate
2022-06-01,Window 1 (Jul 2021 - Oct 2022),76.34166666666667,161.04166666666666,229252,NSI Kalyanpur,Moderate,Moderate
2022-06-02,Window 1 (Jul 2021 - Oct 2022),67.16250000000001,174.75,229252,NSI Kalyanpur,Moderate,Moderate
2022-06-03,Window 1 (Jul 2021 - Oct 2022),73.74166666666666,178.625,229252,NSI Kalyanpur,Moderate,Moderate
